PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS,TEAM
Sophie Devine,9,32.5,197,17,16,272,1,0,Gujarat Giants Women
Nandni Sharma,10,38,228,17,18.59,316,0,1,Delhi Capitals Women
Nadine de Klerk,9,32,192,16,15.69,251,2,0,Royal Challengers Bengaluru Women
Amelia Kerr,7,28,168,14,15,210,0,0,Mumbai Indians Women 
Shree Charani,10,37.4,226,14,22.36,313,1,0,Delhi Capitals Women
Chinelle Henry,8,29,174,14,17.79,249,0,0,Delhi Capitals Women
Lauren Bell,9,36,216,12,16.58,199,0,0,Royal Challengers Bengaluru Women
Rajeshwari Gayakwad,8,22,132,11,16.18,178,0,0,Gujarat Giants Women
Shreyanka Patil,9,30.3,183,11,25,275,0,1,Royal Challengers Bengaluru Women
Marizanne Kapp,10,40,240,10,25.6,256,0,0,Delhi Capitals Women
Sayali Satghare,6,20,120,9,19.44,175,0,0,Royal Challengers Bengaluru Women
Nat Sciver-Brunt,7,26,156,8,30.88,247,0,0,Royal Challengers Bengaluru Women
Kashvee Gautam,9,29,174,8,34.63,277,0,0,Gujarat Giants Women
Sophie Ecclestone,8,28,168,7,30.14,211,0,0,UP Warriorz Women
Shikha Pandey,8,30,180,7,34.29,240,0,0,UP Warriorz Women
